qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NZ_CP101776.1	gb|CP007727.1|-|807206-809555|ARO:3005059|LptD	100.000	2349	0	0	4591013	4593361	1	2349	0.0	4338
NZ_CP101776.1	gb|FO203501.1|+|5123640-5125365|ARO:3005047|eptB	99.652	1725	6	0	218802	220526	1	1725	0.0	3153
NZ_CP101776.1	gb|FO834906.1|+|304977-306633|ARO:3005053|ArnT	99.819	1656	3	0	300509	302164	1	1656	0.0	3042
NZ_CP101776.1	gb|U00096.3|-|481253-484403|ARO:3000216|acrB	83.972	3157	485	18	4155614	4158758	1	3148	0.0	3007
NZ_CP101776.1	gb|U00096.3|-|481253-484403|ARO:3000216|acrB	76.976	582	121	9	1453138	1453711	1555	979	7.92e-84	320
NZ_CP101776.1	gb|U00096.3|-|481253-484403|ARO:3000216|acrB	76.681	476	101	10	72036	72506	1463	993	2.27e-64	255
NZ_CP101776.1	gb|CP133868.1|-|5051597-5053037|ARO:3007682|MdtQ	99.514	1440	7	0	1704430	1705869	1	1440	0.0	2621
NZ_CP101776.1	gb|U00096.1|+|2158385-2161463|ARO:3000794|mdtC	81.899	3055	545	8	1760237	1763287	3051	1	0.0	2571
NZ_CP101776.1	gb|U00096.1|+|2155262-2158385|ARO:3000793|mdtB	81.519	3133	559	17	1763288	1766410	3123	1	0.0	2560
NZ_CP101776.1	gb|AP009048.1|+|2586250-2589364|ARO:3000491|acrD	80.492	3127	584	25	1451576	1454689	3114	1	0.0	2372
NZ_CP101776.1	gb|AP009048.1|+|2586250-2589364|ARO:3000491|acrD	79.433	423	81	6	72021	72440	1478	1059	4.80e-76	294
NZ_CP101776.1	gb|ACWO01000051.1|+|22092-23265|ARO:3004588|Kpne_KpnG	99.488	1173	6	0	1191877	1193049	1173	1	0.0	2134
NZ_CP101776.1	gb|FO834906.1|-|2173974-2175099|ARO:3005044|OmpA	99.733	1125	3	0	3504749	3505873	1	1125	0.0	2061
NZ_CP101776.1	gb|AJ318073.1|+|793-1990|ARO:3004041|Kpne_acrA	97.744	1197	24	2	4154398	4155591	1	1197	0.0	2058
NZ_CP101776.1	gb|AJ011502.1|+|300-1425|ARO:3004122|Kpne_OmpK37	95.498	1155	22	15	2982642	2983796	1	1125	0.0	1818
NZ_CP101776.1	gb|AJ011502.1|+|300-1425|ARO:3004122|Kpne_OmpK37	75.835	389	72	13	4322799	4323170	1044	661	5.05e-41	178
NZ_CP101776.1	gb|KP050489.1|+|0-861|ARO:3001364|SHV-182	99.884	861	1	0	2812574	2813434	1	861	0.0	1585
NZ_CP101776.1	gb|JX121126.1|+|0-858|ARO:3001198|SHV-159	99.883	858	1	0	2812574	2813431	1	858	0.0	1580
NZ_CP101776.1	gb|JX121125.1|+|0-858|ARO:3001197|SHV-158	99.883	858	1	0	2812574	2813431	1	858	0.0	1580
NZ_CP101776.1	gb|X98101.1|+|73-934|ARO:3001070|SHV-11	99.768	861	2	0	2812574	2813434	1	861	0.0	1580
NZ_CP101776.1	gb|JX121122.1|+|0-858|ARO:3001194|SHV-155	99.883	856	1	0	2812574	2813429	1	856	0.0	1576
NZ_CP101776.1	gb|JX121123.1|+|0-861|ARO:3001195|SHV-156	99.652	861	3	0	2812574	2813434	1	861	0.0	1574
NZ_CP101776.1	gb|NG_068211.1|+|100-961|ARO:3001165|SHV-116	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|NG_062300.1|+|0-861|ARO:3005247|SHV-228	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|NG_062287.1|+|0-861|ARO:3005243|SHV-215	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|NG_062299.1|+|0-861|ARO:3005233|SHV-227	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|DQ013287.1|+|0-861|ARO:3001124|SHV-70	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|LN515533.1|+|0-867|ARO:3003154|SHV-187	99.308	867	6	0	2812568	2813434	1	867	0.0	1568
NZ_CP101776.1	gb|AM941848.1|+|0-861|ARO:3001156|SHV-107	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|AF164577.1|+|0-861|ARO:3001072|SHV-13	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|AY277255.2|+|66-927|ARO:3001089|SHV-31	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|KF513178.1|+|0-861|ARO:3001357|SHV-173	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|AM176549.2|+|30-891|ARO:3001128|SHV-74	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|AF208796.2|+|0-861|ARO:3001083|SHV-25	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|AM176550.2|+|30-891|ARO:3001129|SHV-75	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|KM233164.1|+|0-861|ARO:3003152|SHV-185	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|DQ174307.1|+|4-865|ARO:3001122|SHV-67	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|DQ174308.1|+|4-865|ARO:3001123|SHV-69	99.535	861	4	0	2812574	2813434	1	861	0.0	1568
NZ_CP101776.1	gb|MF804906.1|+|0-867|ARO:3005253|SHV-202	99.193	867	7	0	2812568	2813434	1	867	0.0	1563
NZ_CP101776.1	gb|NG_062285.1|+|0-861|ARO:3005251|SHV-213	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|NG_062289.1|+|0-861|ARO:3005250|SHV-217	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|NG_055668.1|+|0-861|ARO:3005249|SHV-203	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|NG_062281.1|+|0-861|ARO:3005242|SHV-209	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|NG_062296.1|+|0-861|ARO:3005240|SHV-224	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|NG_062286.1|+|0-861|ARO:3005235|SHV-214	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|NG_062280.1|+|0-861|ARO:3005226|SHV-208	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|JQ926986.1|+|0-861|ARO:3001345|SHV-144	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|AF293345.1|+|0-861|ARO:3001085|SHV-27	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|AF299299.1|+|0-861|ARO:3001086|SHV-28	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|AF535128.1|+|0-861|ARO:3001098|SHV-40	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|HQ877615.1|+|0-861|ARO:3001159|SHV-110	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|DQ322460.1|+|15-876|ARO:3001139|SHV-85	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|AM941845.1|+|0-861|ARO:3001337|SHV-99	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|AB302939.1|+|8-869|ARO:3001115|SHV-60	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|EF373970.1|+|0-861|ARO:3001146|SHV-94	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|AM176556.2|+|25-886|ARO:3001135|SHV-81	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|KJ776406.1|+|16-877|ARO:3001340|SHV-119	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|FJ668814.1|+|76-937|ARO:3001059|SHV-1	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|AM176552.2|+|30-891|ARO:3001131|SHV-77	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|EF373971.1|+|0-861|ARO:3001148|SHV-96	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|KF513177.1|+|0-861|ARO:3001356|SHV-172	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|HQ661363.1|+|71-932|ARO:3001181|SHV-137	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|HQ661362.1|+|71-932|ARO:3001168|SHV-121	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|AY070258.1|+|0-861|ARO:3001093|SHV-35	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|AJ866284.2|+|0-861|ARO:3001116|SHV-61	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|DQ193536.1|+|0-861|ARO:3001141|SHV-89	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|EU586041.1|+|0-861|ARO:3001112|SHV-56	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|KF976405.1|+|7837-8698|ARO:3001071|SHV-12	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|AM176554.2|+|30-891|ARO:3001133|SHV-79	99.419	861	5	0	2812574	2813434	1	861	0.0	1563
NZ_CP101776.1	gb|AM176558.2|+|0-861|ARO:3001137|SHV-83	99.418	859	5	0	2812576	2813434	3	861	0.0	1559
NZ_CP101776.1	gb|NG_050009.1|+|100-961|ARO:3001341|SHV-132	99.303	861	6	0	2812574	2813434	1	861	0.0	1557
NZ_CP101776.1	gb|NG_050058.1|+|0-861|ARO:3005239|SHV-193	99.303	861	6	0	2812574	2813434	1	861	0.0	1557
NZ_CP101776.1	gb|NG_050059.1|+|0-861|ARO:3005237|SHV-1b-b	99.303	861	6	0	2812574	2813434	1	861	0.0	1557
NZ_CP101776.1	gb|NG_062279.1|+|0-861|ARO:3005236|SHV-207	99.303	861	6	0	2812574	2813434	1	861	0.0	1557
NZ_CP101776.1	gb|NG_055503.1|+|0-861|ARO:3005232|SHV-199	99.303	861	6	0	2812574	2813434	1	861	0.0	1557
NZ_CP101776.1	gb|NG_062291.1|+|0-861|ARO:3005231|SHV-219	99.303	861	6	0	2812574	2813434	1	861	0.0	1557
NZ_CP101776.1	gb|NG_051521.1|+|0-861|ARO:3005229|SHV-196	99.303	861	6	0	2812574	2813434	1	861	0.0	1557
NZ_CP101776.1	gb|NG_062298.1|+|0-861|ARO:3005228|SHV-226	99.303	861	6	0	2812574	2813434	1	861	0.0	1557
NZ_CP101776.1	gb|NG_062278.1|+|0-861|ARO:3005227|SHV-206	99.303	861	6	0	2812574	2813434	1	861	0.0	1557
NZ_CP101776.1	gb|NG_051169.1|+|0-861|ARO:3005223|SHV-194	99.303	861	6	0	2812574	2813434	1	861	0.0	1557
NZ_CP101776.1	gb|NG_062288.1|+|0-861|ARO:3005215|SHV-216	99.303	861	6	0	2812574	2813434	1	861	0.0	1557
NZ_CP101776.1	gb|NG_062284.1|+|0-861|ARO:3005212|SHV-212	99.303	861	6	0	2812574	2813434	1	861	0.0	1557
