ID             ARO_Index    Gene         %identity  alignment_length  mismatches  gap_opens  q_start  q_end    s_start  s_end  evalue     bit_score
NZ_CP176964.1  ARO:3003923  oqxB         98.731     3153              40          0          3633847  3636999  3153     1      0.0        5602
NZ_CP176964.1  ARO:3005059  LptD         99.574     2349              10          0          1490650  1492998  1        2349   0.0        4283
NZ_CP176964.1  ARO:3005047  eptB         99.594     1725              7           0          2344573  2346297  1        1725   0.0        3147
NZ_CP176964.1  ARO:3000216  acrB         84.035     3157              483         18         1059465  1062609  1        3148   0.0        3018
NZ_CP176964.1  ARO:3000216  acrB         77.320     582               119         8          3796579  3797152  1555     979    3.63e-87   331
NZ_CP176964.1  ARO:3000216  acrB         77.053     475               101         8          2197104  2197574  1463     993    1.04e-67   267
NZ_CP176964.1  ARO:3005053  ArnT         99.275     1656              12          0          2426481  2428136  1        1656   0.0        2992
NZ_CP176964.1  ARO:3007682  MdtQ         99.583     1440              6           0          4085293  4086732  1        1440   0.0        2627
NZ_CP176964.1  ARO:3000794  mdtC         81.991     3054              544         6          4145285  4148335  3051     1      0.0        2588
NZ_CP176964.1  ARO:3000793  mdtB         81.412     3131              566         15         4148336  4151458  3123     1      0.0        2543
NZ_CP176964.1  ARO:3000491  acrD         80.461     3127              585         25         3795017  3798130  3114     1      0.0        2366
NZ_CP176964.1  ARO:3000491  acrD         79.481     424               79          8          2197089  2197508  1478     1059   4.77e-76   294
NZ_CP176964.1  ARO:3003922  oqxA         99.150     1176              10          0          3637023  3638198  1176     1      0.0        2117
NZ_CP176964.1  ARO:3004588  Kpne_KpnG    98.806     1173              14          0          3565228  3566400  1173     1      0.0        2089
NZ_CP176964.1  ARO:3005044  OmpA         99.822     1125              2           0          419476   420600   1        1125   0.0        2067
NZ_CP176964.1  ARO:3004041  Kpne_acrA    97.744     1197              24          2          1058249  1059442  1        1197   0.0        2058
NZ_CP176964.1  ARO:3004122  Kpne_OmpK37  99.289     1125              8           0          5472556  5473680  1        1125   0.0        2034
NZ_CP176964.1  ARO:3004122  Kpne_OmpK37  77.329     322               59          9          1227502  1227810  1044     724    5.01e-41   178
NZ_CP176964.1  ARO:3003590  SHV-190      99.884     861               1           0          5304206  5305066  1        861    0.0        1585
NZ_CP176964.1  ARO:3001157  SHV-108      99.535     861               4           0          5304206  5305066  1        861    0.0        1568
NZ_CP176964.1  ARO:3005243  SHV-215      99.303     861               6           0          5304206  5305066  1        861    0.0        1557
NZ_CP176964.1  ARO:3005236  SHV-207      99.303     861               6           0          5304206  5305066  1        861    0.0        1557
NZ_CP176964.1  ARO:3005227  SHV-206      99.303     861               6           0          5304206  5305066  1        861    0.0        1557
NZ_CP176964.1  ARO:3001361  SHV-178      99.303     861               6           0          5304206  5305066  1        861    0.0        1557
NZ_CP176964.1  ARO:3003154  SHV-187      99.077     867               8           0          5304200  5305066  1        867    0.0        1557
NZ_CP176964.1  ARO:3001134  SHV-80       99.303     861               6           0          5304206  5305066  1        861    0.0        1557
NZ_CP176964.1  ARO:3001077  SHV-19       99.303     861               6           0          5304206  5305066  1        861    0.0        1557
NZ_CP176964.1  ARO:3001089  SHV-31       99.303     861               6           0          5304206  5305066  1        861    0.0        1557
NZ_CP176964.1  ARO:3001091  SHV-33       99.303     861               6           0          5304206  5305066  1        861    0.0        1557
NZ_CP176964.1  ARO:3001117  SHV-62       99.303     861               6           0          5304206  5305066  1        861    0.0        1557
NZ_CP176964.1  ARO:3001094  SHV-36       99.303     861               6           0          5304206  5305066  1        861    0.0        1557
NZ_CP176964.1  ARO:3001144  SHV-92       99.303     861               6           0          5304206  5305066  1        861    0.0        1557
NZ_CP176964.1  ARO:3005253  SHV-202      98.962     867               9           0          5304200  5305066  1        867    0.0        1552
NZ_CP176964.1  ARO:3005251  SHV-213      99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3005242  SHV-209      99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3005240  SHV-224      99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001345  SHV-144      99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001098  SHV-40       99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001159  SHV-110      99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001139  SHV-85       99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001115  SHV-60       99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001146  SHV-94       99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001135  SHV-81       99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001152  SHV-103      99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001059  SHV-1        99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001131  SHV-77       99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001148  SHV-96       99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001356  SHV-172      99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001136  SHV-82       99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001093  SHV-35       99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001116  SHV-61       99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001141  SHV-89       99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001112  SHV-56       99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001133  SHV-79       99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001109  SHV-52       99.187     861               7           0          5304206  5305066  1        861    0.0        1552
NZ_CP176964.1  ARO:3001137  SHV-83       99.185     859               7           0          5304208  5305066  3        861    0.0        1548
NZ_CP176964.1  ARO:3001341  SHV-132      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001165  SHV-116      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3005247  SHV-228      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3005239  SHV-193      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3005237  SHV-1b-b     99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3005232  SHV-199      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3005229  SHV-196      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3005228  SHV-226      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3005223  SHV-194      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001362  SHV-179      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001185  SHV-145      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001336  SHV-98       99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001160  SHV-111      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001124  SHV-70       99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001344  SHV-143      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001108  SHV-51       99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001156  SHV-107      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001179  SHV-135      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001072  SHV-13       99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001118  SHV-63       99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001084  SHV-26       99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001357  SHV-173      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001128  SHV-74       99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001083  SHV-25       99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001200  SHV-161      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001196  SHV-157      99.071     861               8           0          5304206  5305066  1        861    0.0        1546
NZ_CP176964.1  ARO:3001189  SHV-150      99.184     858               7           0          5304206  5305063  1        858    0.0        1546
