ID                    ARO_Index    Gene         %identity  alignment_length  mismatches  gap_opens  q_start  q_end    s_start  s_end  evalue     bit_score
NZ_CM128563.1         ARO:3005059  LptD         100.000    2349              0           0          4733397  4735745  1        2349   0.0        4338
NZ_CM128563.1         ARO:3005047  eptB         99.652     1725              6           0          216339   218063   1        1725   0.0        3153
NZ_CM128563.1         ARO:3005053  ArnT         99.819     1656              3           0          298046   299701   1        1656   0.0        3042
NZ_CM128563.1         ARO:3000216  acrB         83.940     3157              486         18         4287892  4291036  1        3148   0.0        3001
NZ_CM128563.1         ARO:3000216  acrB         76.976     582               121         9          1541779  1542352  1555     979    7.85e-84   320
NZ_CM128563.1         ARO:3000216  acrB         76.891     476               100         10         70763    71233    1463     993    4.82e-66   261
NZ_CM128563.1         ARO:3007682  MdtQ         99.514     1440              7           0          1794136  1795575  1        1440   0.0        2621
NZ_CM128563.1         ARO:3000794  mdtC         81.899     3055              545         8          1849943  1852993  3051     1      0.0        2571
NZ_CM128563.1         ARO:3000793  mdtB         81.519     3133              559         17         1852994  1856116  3123     1      0.0        2560
NZ_CM128563.1         ARO:3000491  acrD         80.492     3127              584         25         1540217  1543330  3114     1      0.0        2372
NZ_CM128563.1         ARO:3000491  acrD         79.433     423               81          6          70748    71167    1478     1059   4.76e-76   294
NZ_CM128563.1         ARO:3004588  Kpne_KpnG    99.488     1173              6           0          1284662  1285834  1173     1      0.0        2134
NZ_CM128563.1         ARO:3005044  OmpA         99.733     1125              3           0          3656545  3657669  1        1125   0.0        2061
NZ_CM128563.1         ARO:3004041  Kpne_acrA    97.661     1197              25          2          4286676  4287869  1        1197   0.0        2052
NZ_CM128563.1         ARO:3004122  Kpne_OmpK37  95.498     1155              22          15         3117336  3118490  1        1125   0.0        1818
NZ_CM128563.1         ARO:3004122  Kpne_OmpK37  75.835     389               72          13         4465085  4465456  1044     661    5.00e-41   178
NZ_CM128563.1         ARO:3001364  SHV-182      99.884     861               1           0          2948574  2949434  1        861    0.0        1585
NZ_CM128563.1         ARO:3001198  SHV-159      99.883     858               1           0          2948574  2949431  1        858    0.0        1580
NZ_CM128563.1         ARO:3001197  SHV-158      99.883     858               1           0          2948574  2949431  1        858    0.0        1580
NZ_CM128563.1         ARO:3001070  SHV-11       99.768     861               2           0          2948574  2949434  1        861    0.0        1580
NZ_CM128563.1         ARO:3001194  SHV-155      99.883     856               1           0          2948574  2949429  1        856    0.0        1576
NZ_CM128563.1         ARO:3001195  SHV-156      99.652     861               3           0          2948574  2949434  1        861    0.0        1574
NZ_CM128563.1         ARO:3001165  SHV-116      99.535     861               4           0          2948574  2949434  1        861    0.0        1568
NZ_CM128563.1         ARO:3005247  SHV-228      99.535     861               4           0          2948574  2949434  1        861    0.0        1568
NZ_CM128563.1         ARO:3005243  SHV-215      99.535     861               4           0          2948574  2949434  1        861    0.0        1568
NZ_CM128563.1         ARO:3005233  SHV-227      99.535     861               4           0          2948574  2949434  1        861    0.0        1568
NZ_CM128563.1         ARO:3001124  SHV-70       99.535     861               4           0          2948574  2949434  1        861    0.0        1568
NZ_CM128563.1         ARO:3003154  SHV-187      99.308     867               6           0          2948568  2949434  1        867    0.0        1568
NZ_CM128563.1         ARO:3001156  SHV-107      99.535     861               4           0          2948574  2949434  1        861    0.0        1568
NZ_CM128563.1         ARO:3001072  SHV-13       99.535     861               4           0          2948574  2949434  1        861    0.0        1568
NZ_CM128563.1         ARO:3001089  SHV-31       99.535     861               4           0          2948574  2949434  1        861    0.0        1568
